,Tweets
1529,"Portugal bottled an easy group in qualifiers, after weeks of farming against Azerbaijan, Luxembourg, Ireland. Now they're in the playoffs. And the only excuse Ronaldo fans have rn is ""but but Italy too""😂This fanbase is shameless"
1530,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice
1531,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/PEfET76WSr
1532,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/SYHQ4wVweJ
1533,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/HHjffJlrwq
1534,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice
1535,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/2x2yCDXS6C
1536,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/lveDwelhkS
1537,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice
1538,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/ZUbISgremP
1539,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/PKfalKDtAJ
1540,"@IrelandsFarmers Thank you so much for facilitating this account. It's been great to see and learn from such a variety of farming. Having worked in Ireland and being so culturally connected, from a working Croft in a crofting community in the Outer Hebrides of Scotland."
1541,"@hendopolis We can all see the Brexit benefits from farming, fishing, cost of goods, N Ireland to finance."
1542,"So Turncoat Truss is taking over from Frost. Good time to look at what she said about the importance of the single market to Northern Ireland’s food and drinks industry. #BrexitHasFailed 
 https://t.co/XSlmepBJw4 https://t.co/fR3F9NEZm1"
1543,"“The 3,600 tonnes imported last week was one of the first to come into a port south of the border.” https://t.co/OXY74FKwAo"
1544,"Ireland - Avian influenza detected on Monaghan duck farm - 6th outbreak on commercial enterprises.

https://t.co/V9mAmSiD7Z

#birdflu"
1545,"An office with a view.... is just one of the perks of farming! 😀 🚜

Beautiful photo was taken in Ireland by Irish Beef!

Let's see your farming view! #britishfarming #qualitycrops https://t.co/LzQT9Er117"
1546,LMC will push Northern Ireland's grass-based agenda very strongly in 2022 https://t.co/g8LlsXE9Eh
1547,"@darrengrimes_ A manifesto of hope?! (If you believe that, can I sell you a second-hand car?)
Brexit was based on lies; as we now know. That’s a simple fact.
N.Ireland was completely forgotten about &amp; now it’s a bloody shambles. Fishing, farming &amp; business all suffering.
Xenophobia rampant."
1548,Petition to end puppy farming in Ireland https://t.co/I5uiw1vK9D
1549,"""Fishing and farming communities have been sold out, the Northern Ireland Protocol has thrown the DUP under the Reunification bus, and the UK’s weakness outside the EU has been cruelly exposed,"" comments @zelo_street. https://t.co/1IMtAeBmxg"
1550,"The Drivers Vehicles and Standards Agency announced on December 16th, 2021, that if you passed your car driving test from  January 1st, 1997, you are now allowed to tow trailers up to 3,500kg MAM
https://t.co/z6LSLiX4s1"
1551,@Kelvinpate1 @_smidge @NFUStweets @MairiGougeon LIDAR - I'm referring to something like this @Kelvinpate1 https://t.co/xyGXHNuFMq
1552,@wallacemick @farmersjournal @rte The politically controlled #rhetoric in farming and the articles suppressed are astonishing in Ireland- not a single paper has managed to publish a story about the national law that was finally passed 29 April 2021 1/2 https://t.co/mRsorGsXhZ
1553,@SecYellen @VP Loto company trick me 11 mil they make bankrupt them seft they must face court 49 ceo one superiods court captured and death i must study ireland and french ofcouse automtion tech for farming not highly as usa i know that
1554,"The wheels are coming off the Brexit band wagon. Economy in decline because of the trade loss with the EU, shortage of staff in farming, health and caring because of Brexit restrictions and the Northern Ireland agreement in trouble because of Brexit. Good riddance Frost. https://t.co/bAUZT4n7fc"
1555,Ban fur farming in Ireland - Sign the Petition! https://t.co/X5gcnlcf2B via @Change
1556,"@tyroneds91 @vivamjm The GDP gains for the UK vs AU are minimal, farming will suffer primarily, I mentioned nothing about Ireland? But seeing as how you raised it, actually Ireland benefits also, Irish whiskey is included in the deal.. funny that 🙂, we gave nothing and got a benefit"
1557,"“Undoubtedly, it is now becoming clear that this government believes itself to be ‘above’ the citizens. We believe this to be a complete abuse of power.” https://t.co/2oascxuBLw"
1558,@IFJMediaSales @CultivateCU Ireland’s overexposure to dairy farming is contributing to climate catastrophe. Maybe these lads should get back to tillage and stop pumping methane into the air so they can line their pockets.
1559,"""The UK holds all the cards""
Jack of no trades, King of clowns 🤡
If only the government had a direction, eh Frosty? 

#Ireland #customsunion #farming #fish #BrexitReality https://t.co/FP10PBTnte"
1560,"@Rob_Kimbell Ireland is part of the EU, whose animal welfare and food safety regulation Corbyn's Labour committed to retaining as a floor for UK standards. Ireland's farming regulations have nothing to do with products from Australia's corporatised, community-free, agro-industrial operations."
1561,"Glanbia Ireland has moved a significant step closer to transitioning into full co-operative ownership. A historic day saw close to 4,000 Glanbia Co-op sharesholders vote 80% in favour of the proposal to take full ownership of Glanbia Ireland. 

#farming #teamwork #Cooperatives https://t.co/nQqtEldIWX"
1562,"@Sjd_22 @BBCRosAtkins @campbellclaret @BorisJohnson @trussliz @sajidjavid @RishiSunak 🤣🤣🤣🤣🤣🤣🤣

Yeah! He's ""delivered brexit."" 🤣🤣🤣
You might want to try telling that to the folk in Northern Ireland. The fishing and farming industry. Or to the businesses that are suffering in all other industries.

@trussliz in there is the icing on the tweet.

#brexidiots"
1563,"@TristanTrencrom Good point. Our farming relationship with Ireland has always intrigued me. Here beef is commonly packaged as being ""UK &amp; Ireland"" in origin, even McDonald's does it. But in Ireland it's exclusively ""Irish"". As you say there's a loyalty imbalance that this FTA is likely to expose."
1564,Glanbia Co-op shareholders vote to take ownership of Glanbia Ireland https://t.co/qlXMDqeXnB
1565,"Sign of the times #Ireland?

Will these trends inspire the #Irish to embrace #plantbased.

Rising costs of production in Ireland, mean average #dairy income to fall 16% in 2022, #sheep farms 14%, '#cattle' 31%, even #pig farms.

Thanks to @alexdalton95 🌱

https://t.co/R0n7y9fxS0"
1566,"The ban on fur farming in Ireland is ""a victory of campaigning - we can win when we campaign"": Paul Murphy TD says the focus of campaigners now turns to securing a ban on cruel hare coursing and asks @greenparty_ie @labour @sinnfeinireland to back a ban https://t.co/aOYmdHfvj1 https://t.co/yuZAY7R9Ue"
1567,Ban fur farming in Ireland - Sign the Petition! https://t.co/biXdg4JLmy via @Change
1568,'A positive outcome to the current talks remains our key objective' https://t.co/AU4KhHUrdt
1569,'A positive outcome to the current talks remains our key objective' https://t.co/kpp0LQYNgH
1570,Glanbia Co-op shareholders vote to take ownership of Glanbia Ireland https://t.co/1bRaJ8rXxI https://t.co/IJxLucEN1o
1571,A new initiative to help tackle carbon emissions within the dairy sector in Northern Ireland has been launched https://t.co/ofmwlF0e9N
1572,"@PeterStefanovi2 @LukeHanrahan @euronews True. The Tories think they've got a vote winner in that he got Brexit done but it'd turned out to be a disaster for fishing, farming, and many other areas, not forgetting potentially distabalising N Ireland. Baffled as to why Starmer doesn't see the people have seen the truth."
1573,"@Kevin_Maguire This man has wrecked out economy , wrecked our hospitality &amp; farming industry , supported bullies &amp; corrupt politicians , made his own brother a Peer,,misled parliament &amp; the Queen , wrecked our partnership with our nearest neighbours &amp; put the Ireland Peace process at risk!"
1574,"“As a country of animal lovers, it is overdue that we phase out this practice”: @HollyCairnsTD (@SocDems) has this week welcomed a bill that will finally bring cruel fur farming to an end in Ireland https://t.co/q0yV5WwsLY https://t.co/wk6F7IUiGe"
1575,First bale for the out wintered cattle this morning. They start stealing from it last night so i said its as easy to let them have it. Its so much easier winter farming in the west of ireland when its dry. Be nice to have a spell as i finish up the day job today for Christmas https://t.co/0P97DeVpeb
1576,"@geoffreyMyers1 @BorisJohnson You PILLOCK It’s. Immigrants,farming,fishing,Ireland and stealing 5% off pensioners not PR to tell the plebs we aren’t letting Islamic illegals take over our Nation 😡 Your in denial"
1577,Specific sites have been identified in Southern England and Northern Ireland https://t.co/xoBjETYbsL
1578,The EU and UK have agreed on the importance of continuing talks on the Protocol in 2022. https://t.co/AU4KhHUrdt
1579,A new initiative to help tackle carbon emissions within the dairy sector in Northern Ireland has been launched https://t.co/3fn4QTyjt7
1580,"Changes to towing a trailer come into force, but what are the rules for Northern Ireland? https://t.co/UmkvShyuyZ"
1581,@IsMiseMarcas As long as there's an elderly and farming population in rural Ireland they'll be hanging around.
1582,@mickb290 You’re so right. Tillage farming &amp; horticulture is impossible in Ireland. See 1970-2010 tillage maps below https://t.co/RMA2IWCnKJ
1583,"https://t.co/2zNbX68jq9
Importance Of Traditional Knowledge In Agriculture
#Blog #Blogs #BlogDeportivo #blogovision2021 #blogmap #BLOGOS #agriculture #agricultureinindia #Viral #Trending #India #USA #Canada #Nepal #Pakistani #Farming #Indonesia #Ireland #writerscommunity #Article https://t.co/GPbAzPyJH1"
1584,@DoingLessBetter Social farming has been around for decades in Ireland and is at last getting recognised for the transformative activity it can provide. It’s a shame it hasn’t been supported by previous governments and fantastic services and projects were allowed to fall. Better days ahead 🤞🤞
1585,‘ Feature Fridays ’Kiln -Lime. #tvasireland #tvas #archaeology #limekiln #medieval #postmedieval #Ireland #cork #clare #wexford #farming #excavation #kiln #featurefridays https://t.co/IlwVo2uAoT
1586,"@radicaldata Thank you for sharing. 

My great-great-grandparents in Ireland had a farm. My great-grandmother left her farming family to work but I'm not sure what she did."
1587,"Animal Health and Welfare (Miscellaneous Provisions) Bill 2021: Instruction to Committee - Dáil debates, 15 December 2021. This debate relates to forestry and a ban on fur farming in Ireland https://t.co/UmE4dJ78A4"
1588,"Indian Millennials Flocking To Farms + Traditional Ingredients @atlasobscura https://t.co/Xg1AOx7hNM - part 2 Ireland needs to grow ancient grains, learn Victorian gardening, grow vertically+indoors,all year+ open rural schools to teach old skills ie thatching, blacksmith skills."
1589,"@AnneOLe43078812 @penrose__jm @Mikey007007 @Indisciplined12 @AlexanderShekh4 @birdhonks @monsta_sea @__jacker__ @anniefofani @alannah_siobhan @kppotatoes @DonaldHorwitz5 @bilmishmish @OpenMin05346188 @Th2shay @LiverOfLife3 @Ahmadfarukhii @noam8080 @TimGranite @BENJAMlNTUCKER @OliverKBrown @JonahIvriAnochi @ScripteIadora @laielkha @fperez1776 @rosaismyhero @swepal1 @HebMacMan @BlueGreenberg @MiriamL99472550 @corjoy @nifkadimnohahim @MayaMurful @sunshinemind4 @ruskhat @maggicarter @AlBiRumi @HusseinBahsoun1 @Brad_Spielman @NGScott_NZ @fazel25689797 @bad_bec @GreteThorn @aalsaid54 @Maalbar1Mohd @Dorierez @WARONWASHINGTON @RosaWal90673631 @BrianLanca @inshallah1001 Clearly not the most capable, informed, credible or intelligent fake troll bot account on this site.

How come you can't feed yourselves, garbage?

https://t.co/Xn5OgXGzX6"
1590,"In 2018 I launched a bill to ban fur farming in Ireland - now, finally, three years on this measure is being implemented.

Good riddance to this outdated and cruel industry, and fair play to all who campaigned to shut it down. https://t.co/iUCAAA1PeA"
1591,"'As a sector, forestry is ideally placed to form a core part of agriculture in Ireland...' https://t.co/0iTuSWTcfD"
1592,@BBCNews Turning over the land to wholesale silage production is not farming - and it has been catastrophic for biodiverity in N.Ireland.#ecologicalnightmare
1593,"Thank you to @MsCatherinaC for including ours and @IrishWater's #thinkb4upour FOG clogs in @thatsfarming recently! Take a look at it here: https://t.co/QVYPezqA5n
 #CleanCoasts #thinkb4uflush #Ireland"
1594,"Get your FREE 2022 IFA Calendar with the @farmersjournal today. Thanks to everyone who entered our photography competition, and to @fbd_ie &amp; @ifac_ireland. #calendar #farming #IFA https://t.co/Qw9jfg8rnn"
1595,"Northern Ireland's Department of Agriculture, Environment and Rural Affairs (DAERA) has published its 2020 air quality report. Most key objectives were met in full... including those for NO2, for the first time since 2002. W. #YourCityNeedsAir #ZiggyAir https://t.co/dUplpUI2t7"
1596,"Just fantastic news, thanks @creativeirl and others for supporting @lisafingleton incredible ecosocial skills and passion for #sustainable and #justtransition for #farming in #Ireland &amp; a past #HaumeaEcoversity learner to boot 👏👏🌏👨‍👩‍👧‍👧👩‍🌾🇮🇪 https://t.co/PvD0IlzaX5"
1597,"Northern Ireland does have the potential to become a world leader in biomethane. Great to see this being recognized.

https://t.co/DQsnT58Hkr"
1598,"@Mikey1732 How's Brexit going for UK farming?

How's Brexit going for UK inflation? 

How's Brexit going for stability in Northern Ireland ?

How's Brexit going for NHS recruitment and staff shortages?"
1599,Ireland produced 2.3 million tonnes of grain in 2021.. https://t.co/MViOwiH2tW
1600,The level of BVD in animals across Northern Ireland has fallen over 50%... https://t.co/39nYTIx1UF
1601,The level of BVD in animals across Northern Ireland has fallen over 50%... https://t.co/P1MuPcp875
1602,Ireland is among the top methane emitters in the EU. Now the country is hoping to combine two of its booming industries -- cattle farming and seaweed harvesting -- to cut methane emissions. https://t.co/fqH4tJahoy
1603,'Ireland has understood the impact of the climate crisis on food security and is a champion of nutrition' https://t.co/5qiVQs2BPM
1604,"Air Pollution in Northern Ireland 2020 report released

The ‘Air Pollution in Northern Ireland 2020’ report has been published today.  https://t.co/dq26VDkFaI"
1605,Ireland learnt that farming only potatoes is bad. https://t.co/wqbznLs1C0
1606,"@ladyballsmcgee If I were single, I would have done it in a heart beat.. go back to Ireland and settle down there in the North West, farming sheep."
1607,I’m helping to End Puppy Farming in Ireland with @dogstrust_IE. Will you add your voice? https://t.co/90NgSoDh16
1608,Cattle exports to the Republic of Ireland to meet BVD conditions from 2022 https://t.co/1VORYzH22W
1609,"""12 Christmas gifts for the farmer in your life"" from @Independent_ie including GS1 Ireland member, Boundary Blade https://t.co/Z46ORPkyW7 #ChristmasGifts #BoundaryBlade https://t.co/vhJRYKML6D"
1610,Our Progressive Young Farmer Programme has helped kickstart the recruitment of farming careers across the UK and Ireland 👩‍🌾 https://t.co/x9FZShv2pS
1611,@Fergusodowd Thank you Fergus it seems such an easy thing to enforce but i think the bigger issue has to be the lack of sentencing for cruelty before the courts if there’s only a slap on the wrists its too lucrative to give up. Its embarrassing to think Ireland is the capital of puppy farming
1612,"@Jacob_Rees_Mogg Brexit is costing the country 12 billion a month… Northern Ireland is a mess… farming and fishermen are losing their livelihoods - so please go down to Brixham harbour and tell them about happy fish. Take a towel, because you’ll need it"
1613,'This represents our highest ever contribution and confirms Ireland's commitment to fighting world hunger' https://t.co/5qiVQs2BPM
1614,"@JonHlluk @IainColledge @andrewsibley15 @AlabamaHoshea @AndrewKnight226 @Stilllearning90 @GeoffBarton9 @marcsaysmarc @David19531501 @sheehyjr @john30296891 @of_flocks @just2sayin @boomer_ish @wanderer_bolton @andrewhesselden @CarlsbadCharlie @JackDaw68083738 @ConraddKonnrad @Claesson_Kate @Davidmetroland @xela19721 @Jimbo12449841 @LeftBehindPoet @Mac_Paddy54 @susan04071 @Peter14306722 @cybremike7 @RandyKite @Begentle50 @Chris_not_a_bot @Maggie29047241 @chantypo_71 @MickeyM19517368 @afewpoints @HWick_Chris @The_Leaver @SallyAnnC3 @bunter888 @Schofield7Pete @Swen_2017 @GeoffreyKeey @ruckmalc @ChrisEv06631592 @resiguru @gil0607 @viv_cooper @AndieHalihan @bromhome @scottjla Why do you think that having trade deals with Australia and New Zealand ""throws our farming sector under the bus""?

This is where you provide an argument that isn't ""well it'll be cheaper"" when the UK already imports masses from Ireland and that isn't throwing them under the bus."
1615,"Keynote speakers @ Webinar #sustainable #farming for #peatlands 
🌱Greenhouse Gas reduction
🌱Rewetting of bog in Ireland
🌱Carbon and eco credits
🌱Extensive grazing in fens
#PeatlandMatters #Sustainablepeatlands @CarbonConnects @CarePeat https://t.co/1KF7XhJFdu"
1616,"She was the ninth child in a rural farming family in Ireland's fourth city, whose two brothers died before she was born and whose father was handicapped due to a brain injury caused by a motorcycle accident"
1617,"According to the government, approximately 2.1 million domestic electricity account holders will benefit from a one-off payment https://t.co/F8cuytroCI"
1618,"New Old Ways of Farming, Co. Monaghan, Ireland 1999 https://t.co/zwxEO0mOv2 via @YouTube"
1619,"@AnneOLe43078812 @ScripteIadora @dezi555 @kppotatoes @LiverOfLife3 @Brad_Spielman @Th2shay @Mikey007007 @Daniel85401173 @MayaMurful @Indisciplined12 @OpenMin05346188 @MiriamL99472550 @bilmishmish @OliverKBrown @Maccabi226km @anniefofani @alannah_siobhan @DonaldHorwitz5 @Ahmadfarukhii @noam8080 @TimGranite @BENJAMlNTUCKER @JonahIvriAnochi @laielkha @fperez1776 @rosaismyhero @swepal1 @HebMacMan @BlueGreenberg @corjoy @nifkadimnohahim @sunshinemind4 @ruskhat @maggicarter @AlBiRumi @HusseinBahsoun1 @NGScott_NZ @fazel25689797 @bad_bec @GreteThorn @aalsaid54 @Maalbar1Mohd @Dorierez @WARONWASHINGTON @RosaWal90673631 @BrianLanca @inshallah1001 @squeeze_soul @gerda00052 cry more, mickey. Or should I say ahmed o""dreary.

You lying piece of garbage.

Hungry? Cry more, you piece of garbage.

https://t.co/Xn5OgXGzX6"
1620,"'In the Republic of Ireland, as of today, HPAI H5N1 has been confirmed at five commercial holdings' https://t.co/RgqDqS4Hxi"
1621,"'In the Republic of Ireland, as of today, HPAI H5N1 has been confirmed at five commercial holdings' https://t.co/ClkBnnPhPR"
1622,"As Joanne Knox reports for Farming Life, around 90 per cent of seed potatoes now need to be sourced from other EU regions, which have not traditionally supplied high grade seed varieties favoured by the Northern Ireland market. https://t.co/KHaWA80GDp"
1623,"Tune in to Talkback on BBC Radio Ulster before 1pm today to hear Green Cllr @AntoFlynnser on the reforms needed to puppy breeding regulation in Northern Ireland.

https://t.co/0YXCL5i6Yf"
1624,"""Even though I’m from Dublin, I love rural Ireland” https://t.co/e1OtC7RD47"
1625,"If you're thinking of converting to organic farming the Irish Organic Association have been certifying in Ireland for almost 40 years. Please get in touch with our team via our website - https://t.co/Q5DlWaqSjE

#demandorganics #irelandsorganicsector #organic4everyone https://t.co/tS0OstV58v"
1626,"Agricultural output price index up 14.1% in the year to October 2021
https://t.co/UppLISHTjR 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #MilkStatistics #MilkProduction #Dairy #Milk #Tillage #Crops #Agronomy https://t.co/putDWmYdpf"
1627,"SF's @mattcarthy  ""the hemp sector, can deliver a viable extra income source for farmers while also providing an environmental benefit. However, he believes the government appear to be “placing obstacles in the way” of the sector’s development.""

https://t.co/EeP9SEJEsm"
1628,"UK Government action needed one year on from Brexit as issues around asymmetric trade, labour, Northern Ireland protocol and seed potatoes still to be resolved. 

Find out how these issues are continuing to affect Scottish farming, food and drink here ⬇️
https://t.co/p18nAUhLFP"
1629,Bank of Ireland recently gave a little vote of confidence to farming sectors outside of dairy. https://t.co/kJyBsV3ael
1630,I’m helping to End Puppy Farming in Ireland. Will you add your voice? @dogstrust_ie https://t.co/TNo1XoGV8S #EndPuppyFarming
1631,@Jacob_Rees_Mogg So he celebrated an aristocratic Saint who probably wouldn't have been remembered if she had been a commoner 1100 after her death when his ancestors hadn't even started potato farming in Ireland and were still living under pagan Irish Dane Law
1632,"Something being passed on by the farming community, but also for others. Could 2 followers please copy and re-post this tweet? We’re trying to demonstrate that someone is always listening.

Call 116 123 (Samaritans United Kingdom and Ireland)
Just two. Any two. Copy, not retweet."
1633,"Amazing @SCC_Ireland webinar! Linking #ClimateAction to #biodiversity and #socialjustice Advocating for schools as hubs for #ActiveTravel, and ensuring best land use and #justtransition for farming https://t.co/E0toqgVDRr"
1634,Northern Ireland protocol: Poots addresses important issues facing NI agri-food industry with Eustice - https://t.co/vAPXlBi5jD https://t.co/fweJioNke7
1635,"“In particular, these counties include Donegal, Kerry, Leitrim, Mayo, Clare, Sligo, Limerick, Galway, Longford, Cavan, Roscommon, Dublin, Offaly, Wicklow &amp; Westmeath.”
https://t.co/eiVnWqL5R1"
1636,"In the Republic of Ireland, Lakeland Dairies has increased its milk price by 1.22c/L... https://t.co/xkkBXMVHww"
1637,"In the Republic of Ireland, Lakeland Dairies has increased its milk price by 1.22c/L... https://t.co/7f37fSizkh"
1638,"Northern Ireland commits £14million to green farming schemes

https://t.co/DlDhcxauJD"
1639,"All 32 Glanbia Ireland branches will offer services such as bill payment, gift cards and mobile top up... https://t.co/iToOIWN9jy"
1640,"""Stormont's agriculture minister, Edwin Poots acknowledged Northern Ireland has plenty of homegrown produce, such as beef or potatoes.

But he warned trimmings like Bisto or trifle could be missing from traditional Sunday dinners."" https://t.co/ugPwEhTFXa"
1641,"@catlowry54 Thank you @catlowry54  for your SHOCKING description &amp; graphic of the horrific, undetected #PuppyFarm abuse, that's occurring on a daily basis in Ireland.

Time for this appalling, illegal mistreatment to STOP NOW !
@RevenueIE @agriculture_ie @gardainfo"
1642,"After @piersmorgan and @susannareid100 put @BrandonLewis in his place about Covid death rates, the NI Agriculture Minister calls him out on his ridiculous claims that empty supermarket shelves in NI was due to Covid and not Brexit. Not have a good day!

https://t.co/sXrSCR3n6k"
1643,"Northern Ireland agriculture minister Edwin Poots warns of an impending Brexit-related shortage of ""Bisto,"" which Google tells me is a brand of granulated gravy. https://t.co/qzpMwkDTWg"
1644,"The Future Growth Loan Scheme makes up to €800m of loans available for terms of 7-10 years. It's available to eligible businesses in Ireland, including those in the primary agriculture and seafood sectors, to support strategic long-term investment 👉 https://t.co/aDDwjpk6lw"
1645,Stormont's agriculture Edwin Poots minister has hit back at a claim by the NI secretary that trade disruption across the Irish Sea is due to Covid-19 and not Brexit by describing Brandon Lewis as “like an emperor with no clothes” https://t.co/vijTgUmaRq
1646,"The Department of Agriculture, Environment and Rural Affairs (DAERA) has advised owners of equines to become familiar with new regulations for transporting live animals from Great Britain to Northern Ireland.  More info: https://t.co/SBYGU7SdlV https://t.co/dqdZyJPzKL"
1647,"@SamuelMarcLowe That was not possible, long before Brexit there were checks of animals from Britain to Northern Ireland, all due to BSE years ago. We had to protect our island, agriculture is important here."
1648,"Stormont's agriculture minister calls NI Secretary Brandon Lewis ""the emperor with no clothes""

https://t.co/1zC7tmXedp"
1649,This is a very interesting table. Compiled by Irish Dept. Agriculture is attempts to break down the quota shares coming back to the UK at the end of the 5.5yr period by member state. France who has share by value seems to be a winner but Ireland isn't so lucky! @june_mummery https://t.co/Oie8QA94cm
1650,"'He's like the emperor with no clothes':

Stormont's agriculture minister hits back at a claim by the NI secretary that trade disruption across the Irish Sea is due to Covid-19 and not #Brexit.
Full story here: https://t.co/KExL049EDo https://t.co/HWN9q8yzZ0"
1651,"Bong! Bong! 

""Processed goods like jelly or gravy could be unavailable in Northern Ireland at the end of the protocol grace period, according to Stormont's agriculture minister""

#WeToldYou
#BrexitReality

@lbc #politicslive

https://t.co/ktiRguMY09"
1652,".@edwinpootsmla tells @niassembly he believes there ""will be substantial support for agriculture and the environment going forward beyond the mandate of this parliament"". 

The minister is briefing MLAs on a recent NSMC meeting. 

Updates on StormontLive: https://t.co/7gEpVDPGnj"
1653,"The #COVID19 Credit Guarantee Scheme is provided by the Government of Ireland to facilitate lending to Micro, #SME, and small MidCaps adversely impacted by #Covid. See the scheme providers here, https://t.co/VvRBGKwpqa @DeptEnterprise @agriculture_ie https://t.co/LbN5wr1R7P"
1654,"SsangYong 𝗠𝘂𝘀𝘀𝗼 𝗚𝗿𝗮𝗻𝗱 featured amongst 𝗕𝗲𝘀𝘁 𝗣𝗶𝗰𝗸 𝗨𝗽𝘀 to buy in 𝟮𝟬𝟮𝟭

Read at 🌍 https://t.co/tqpIUM3QR9

#SsangYong #Musso_Grand #Pickup  #Farm_Motoring #farming #farm #agriculture #Ireland"
1655,Water bodies in Kilkenny some of the worst in Ireland. Agriculture mostly but not exclusively responsible. We need to do so much more @an_taisce_kk @KkCarlow @KKPeopleNews https://t.co/AJYFEiP8GQ
1656,"BREAKING: The Northern Ireland minister of agriculture, a creationist who believes the Earth is 6,000 years old, is named Edwin Poots. https://t.co/JhuHYcsLod"
1657,"“You can have your roast beef dinner but you might not have any ⁦Bisto⁩ on it... you mightn’t have a nice bit of trifle after it either because you don’t have any jelly”.

DUP Agriculture Minister warns ‘numerous’ products may be unavailable in NI https://t.co/c1z0CVchjk"
1658,"“Numerous” products will be unavailable and there will be a “far greater proportion of empty shelves” when the grace period for supermarkets in Northern Ireland ends on March 31st, the North’s Minister for Agriculture has warned
https://t.co/PgdWJ4xQln"
1659,"@GilesMacDonogh @nth09 @MJDougherty33 @ColinHeyburn @MillieFiore @sachetsofrelish @DianaHenryFood @25 @keirstarmer https://t.co/RAnSXaCRzC

""Jelly and gravy supplies threatened when grace period ends, Stormont warns

Agriculture minister Edwin Poots warned people might have to go without Bisto or trifle during Sunday dinners."""
1660,"Processed goods like jelly or gravy could be unavailable in Northern Ireland at the end of the protocol grace period, Stormont’s Agriculture Minister said. https://t.co/YxHrFzPOjc"
1661,@MichealMartinTD @EngineerIreland I always thought Engineers Ireland  were a bit too much on the agricultural side to be taken seriously. Common Agricultural Policy types. Good on subsidies bad on agriculture.
1662,Is this for real? RT @BBCNewsNI: Agriculture Minister Edwin Poots issues jelly and gravy shortage warning #brexit https://t.co/RSpVIcoCOj
1663,"Agh! Not our gravy and jelly! 

Processed goods like jelly or gravy could be unavailable in NI at the end of the protocol grace period, according to Stormont's agriculture minister.

https://t.co/CuIzeLfl42"
1664,Reducing antibiotic usage in agriculture is in everyone's interest... https://t.co/Dc47FiEpgd
1665,"#Brexit: 

Agriculture Minister Edwin Poots issues jelly &amp; gravy shortage warning  https://t.co/9I61OowhZG"
1666,Agriculture Minister Edwin Poots issues jelly and gravy shortage warning #brexit https://t.co/J43AJS5RAs
1667,"@agriculture_ie @MarineInst @BordIascMhara @OurOceanWealth @McConalogue Web page needs updating (ports)
""Ireland does not currently have a Border Control Post to facilitate the landing of frozen fish by Third Countries therefore English Scottish and Welsh vessels may only land fresh, not frozen fishery product to Irish ports"" https://t.co/7iYTVAj9k2"
1668,@pippa_hackett @shacklej @agriculture_ie @greenparty_ie @ireland_farming @IrishOrganicA @organictrust If we want to keep our rich vibrant soil. It will only happen from taking a look at how previous Irish societies cared for cattle and the policies in place which guarantee eco balance. For example cattle land and manure collection had mathematical guidelines to be met.
1669,"The Great Nursing Home Bake Off https://t.co/eKjaiXzSnw
@Suresh While doing research on agriculture and food in Ireland, I came across this story through an Irish friend.
The article includes a clickable link, to download a PDF version of thecookbook. Enjoy! @MowlamHealth"
1670,"@catlowry54 @petbond_ireland @agriculture_ie @fingal_DOG Thanks to you @catlowry54  #HilltopSanctuary @petbond_ireland  &amp; many, many #RescueCentres all across Ireland, engaging in daily animal welfare care, picking up the pieces, in the absence of meaningful dog/animal welfare policy &amp; law enforcement.
Change IS happening NOW !"
1671,"The Great Nursing Home Bake Off https://t.co/RmrfXKEgtQ

While doing research on agriculture and food in Ireland, I came across this story through an Irish friend.
The article includes a clickable link, to download a PDF version of the cookbook. Enjoy! @MowlamHealth #ontag"
1672,@JnOCallaghan @petbond_ireland @agriculture_ie @fingal_DOG Thank you! These animals need lots of credible voices/advocates to shine a light on their horror existences and to hold it there until the law is enforced consistently.Change will come!would love to see it in our lifetimes 😉
1673,"@petbond_ireland @agriculture_ie @fingal_DOG Tim, @petbond_ireland ongoing, progressive contribution to much improved dog/animal welfare is urgently needed &amp; v. greatly appreciated.
I hope @catlowry54  #HilltopSanctuary will take consolation that her 2 year long concerns for neglected horses will be raised @agriculture_ie"
1674,"Overview of my current research, published in the latest edition of @teagasc TResearch (winter 2020): https://t.co/dHlSHfbg0F 

#Ireland #waterways #agriculture 

Thanks to supervisors 
@Ruth1McA @Erin_S_Sherry @TrevorDonnellan @sally_shortall and Teagasc Walsh Scholar programme."
1675,@pippa_hackett @agriculture_ie @greenparty_ie @ireland_farming @IrishOrganicA @organictrust Kind of hoping my broadband goes this time for any awk questions!!😂
